Time Stamp,Time Zone,Name,PTID,Load
10/11/16 1:05,EDT,CENTRL,61754,1414.9
10/11/16 1:05,EDT,DUNWOD,61760,498.2
10/11/16 1:05,EDT,GENESE,61753,854.6
10/11/16 1:05,EDT,HUD VL,61758,807.4
10/11/16 1:05,EDT,LONGIL,61762,1658.6
10/11/16 1:05,EDT,MHK VL,61756,684.6
10/11/16 1:05,EDT,MILLWD,61759,195.2
10/11/16 1:05,EDT,N.Y.C.,61761,4239.6
10/11/16 1:05,EDT,NORTH,61755,463.1
10/11/16 1:05,EDT,WEST,61752,1445.8
10/11/16 1:10,EDT,CAPITL,61757,1071.9
10/11/16 1:10,EDT,CENTRL,61754,1404.3
10/11/16 1:10,EDT,DUNWOD,61760,498.7
10/11/16 1:10,EDT,GENESE,61753,844.1
10/11/16 1:10,EDT,HUD VL,61758,783.9
10/11/16 1:10,EDT,LONGIL,61762,1645.8
10/11/16 1:10,EDT,MHK VL,61756,687.6
10/11/16 1:10,EDT,MILLWD,61759,198.8
10/11/16 1:10,EDT,N.Y.C.,61761,4227.2
10/11/16 1:10,EDT,NORTH,61755,462.4
10/11/16 1:10,EDT,WEST,61752,1474.5
10/11/16 1:15,EDT,CAPITL,61757,1067
10/11/16 1:15,EDT,CENTRL,61754,1411.9
10/11/16 1:15,EDT,DUNWOD,61760,482.4
10/11/16 1:15,EDT,GENESE,61753,848.8
10/11/16 1:15,EDT,HUD VL,61758,799.2
10/11/16 1:15,EDT,LONGIL,61762,1650.8
10/11/16 1:15,EDT,MHK VL,61756,689.3
10/11/16 1:15,EDT,MILLWD,61759,206.1
10/11/16 1:15,EDT,N.Y.C.,61761,4237.9
10/11/16 1:15,EDT,NORTH,61755,460.6
10/11/16 1:15,EDT,WEST,61752,1456.1
10/11/16 1:20,EDT,CAPITL,61757,1054.7
10/11/16 1:20,EDT,CENTRL,61754,1414.7
10/11/16 1:20,EDT,DUNWOD,61760,480.5
10/11/16 1:20,EDT,GENESE,61753,847.9
10/11/16 1:20,EDT,HUD VL,61758,795.2
10/11/16 1:20,EDT,LONGIL,61762,1624.7
10/11/16 1:20,EDT,MHK VL,61756,684.1
10/11/16 1:20,EDT,MILLWD,61759,207.5
10/11/16 1:20,EDT,N.Y.C.,61761,4211.3
10/11/16 1:20,EDT,NORTH,61755,459
10/11/16 1:20,EDT,WEST,61752,1457
10/11/16 1:25,EDT,CAPITL,61757,1067.4
10/11/16 1:25,EDT,CENTRL,61754,1359.7
10/11/16 1:25,EDT,DUNWOD,61760,473.5
10/11/16 1:25,EDT,GENESE,61753,848.1
10/11/16 1:25,EDT,HUD VL,61758,797.4
10/11/16 1:25,EDT,LONGIL,61762,1628.6
10/11/16 1:25,EDT,MHK VL,61756,687.4
10/11/16 1:25,EDT,MILLWD,61759,210.2
10/11/16 1:25,EDT,N.Y.C.,61761,4174.9
10/11/16 1:25,EDT,NORTH,61755,455.1
10/11/16 1:25,EDT,WEST,61752,1445.7
10/11/16 1:30,EDT,CAPITL,61757,1054.5
10/11/16 1:30,EDT,CENTRL,61754,1345.7
10/11/16 1:30,EDT,DUNWOD,61760,491.2
10/11/16 1:30,EDT,GENESE,61753,843.5
10/11/16 1:30,EDT,HUD VL,61758,770.5
10/11/16 1:30,EDT,LONGIL,61762,1614
10/11/16 1:30,EDT,MHK VL,61756,686.6
10/11/16 1:30,EDT,MILLWD,61759,203.3
10/11/16 1:30,EDT,N.Y.C.,61761,4164
10/11/16 1:30,EDT,NORTH,61755,465.5
10/11/16 1:30,EDT,WEST,61752,1444
10/11/16 1:35,EDT,CAPITL,61757,1061.9
10/11/16 1:35,EDT,CENTRL,61754,1385.7
10/11/16 1:35,EDT,DUNWOD,61760,490.2
10/11/16 1:35,EDT,GENESE,61753,839
10/11/16 1:35,EDT,HUD VL,61758,774.8
10/11/16 1:35,EDT,LONGIL,61762,1616.7
10/11/16 1:35,EDT,MHK VL,61756,673.4
10/11/16 1:35,EDT,MILLWD,61759,200
10/11/16 1:35,EDT,N.Y.C.,61761,4162.2
10/11/16 1:35,EDT,NORTH,61755,461.4
10/11/16 1:35,EDT,WEST,61752,1433.6
10/11/16 1:40,EDT,CAPITL,61757,1050
10/11/16 1:40,EDT,CENTRL,61754,1377.9
10/11/16 1:40,EDT,DUNWOD,61760,489
10/11/16 1:40,EDT,GENESE,61753,840.7
10/11/16 1:40,EDT,HUD VL,61758,783
10/11/16 1:40,EDT,LONGIL,61762,1610.7
10/11/16 1:40,EDT,MHK VL,61756,682.3
10/11/16 1:40,EDT,MILLWD,61759,196
10/11/16 1:40,EDT,N.Y.C.,61761,4163.4
10/11/16 1:40,EDT,NORTH,61755,471
10/11/16 1:40,EDT,WEST,61752,1436.3
10/11/16 1:45,EDT,CAPITL,61757,1048.5
10/11/16 1:45,EDT,CENTRL,61754,1395.2
10/11/16 1:45,EDT,DUNWOD,61760,486.2
10/11/16 1:45,EDT,GENESE,61753,837.8
10/11/16 1:45,EDT,HUD VL,61758,767.2
10/11/16 1:45,EDT,LONGIL,61762,1608.2
10/11/16 1:45,EDT,MHK VL,61756,675.8
10/11/16 1:45,EDT,MILLWD,61759,204.8
10/11/16 1:45,EDT,N.Y.C.,61761,4128.1
10/11/16 1:45,EDT,NORTH,61755,448
10/11/16 1:45,EDT,WEST,61752,1429.4
10/11/16 1:50,EDT,CAPITL,61757,1048.5
10/11/16 1:50,EDT,CENTRL,61754,1391.6
10/11/16 1:50,EDT,DUNWOD,61760,472.8
10/11/16 1:50,EDT,GENESE,61753,831.8
10/11/16 1:50,EDT,HUD VL,61758,770.4
10/11/16 1:50,EDT,LONGIL,61762,1610.2
10/11/16 1:50,EDT,MHK VL,61756,679.1
10/11/16 1:50,EDT,MILLWD,61759,202.4
10/11/16 1:50,EDT,N.Y.C.,61761,4089
10/11/16 1:50,EDT,NORTH,61755,469.8
10/11/16 1:50,EDT,WEST,61752,1439.2
10/11/16 1:55,EDT,CAPITL,61757,1054.1
10/11/16 1:55,EDT,CENTRL,61754,1387.7
10/11/16 1:55,EDT,DUNWOD,61760,471.1
10/11/16 1:55,EDT,GENESE,61753,838.7
10/11/16 1:55,EDT,HUD VL,61758,787.5
10/11/16 1:55,EDT,LONGIL,61762,1610.2
10/11/16 1:55,EDT,MHK VL,61756,673.7
10/11/16 1:55,EDT,MILLWD,61759,201.5
10/11/16 1:55,EDT,N.Y.C.,61761,4106.3
10/11/16 1:55,EDT,NORTH,61755,449.2
10/11/16 1:55,EDT,WEST,61752,1407
10/11/16 2:00,EDT,CAPITL,61757,1066.1
10/11/16 2:00,EDT,CENTRL,61754,1377.6
10/11/16 2:00,EDT,DUNWOD,61760,475.5
10/11/16 2:00,EDT,GENESE,61753,831.8
10/11/16 2:00,EDT,HUD VL,61758,779
10/11/16 2:00,EDT,LONGIL,61762,1599.5
10/11/16 2:00,EDT,MHK VL,61756,685.3
10/11/16 2:00,EDT,MILLWD,61759,203.9
10/11/16 2:00,EDT,N.Y.C.,61761,4086.8
10/11/16 2:00,EDT,NORTH,61755,459
10/11/16 2:00,EDT,WEST,61752,1395.9
10/11/16 2:05,EDT,CAPITL,61757,1039.5
10/11/16 2:05,EDT,CENTRL,61754,1392.3
10/11/16 2:05,EDT,DUNWOD,61760,463.7
10/11/16 2:05,EDT,GENESE,61753,827.1
10/11/16 2:05,EDT,HUD VL,61758,770.2
10/11/16 2:05,EDT,LONGIL,61762,1603.2
10/11/16 2:05,EDT,MHK VL,61756,671.8
10/11/16 2:05,EDT,MILLWD,61759,209.4
10/11/16 2:05,EDT,N.Y.C.,61761,4054.4
10/11/16 2:05,EDT,NORTH,61755,465.9
10/11/16 2:05,EDT,WEST,61752,1409.5
10/11/16 2:10,EDT,CAPITL,61757,1041.1
10/11/16 2:10,EDT,CENTRL,61754,1386.2
10/11/16 2:10,EDT,DUNWOD,61760,465.2
10/11/16 2:10,EDT,GENESE,61753,828.6
10/11/16 2:10,EDT,HUD VL,61758,775.8
10/11/16 2:10,EDT,LONGIL,61762,1581.5
10/11/16 2:10,EDT,MHK VL,61756,680
10/11/16 2:10,EDT,MILLWD,61759,207.3
10/11/16 2:10,EDT,N.Y.C.,61761,4030.5
10/11/16 2:10,EDT,NORTH,61755,462.7
10/11/16 2:10,EDT,WEST,61752,1406.7
10/11/16 2:15,EDT,CAPITL,61757,1045.1
10/11/16 2:15,EDT,CENTRL,61754,1396.6
10/11/16 2:15,EDT,DUNWOD,61760,465.7
10/11/16 2:15,EDT,GENESE,61753,832.3
10/11/16 2:15,EDT,HUD VL,61758,788
10/11/16 2:15,EDT,LONGIL,61762,1583
10/11/16 2:15,EDT,MHK VL,61756,674.4
10/11/16 2:15,EDT,MILLWD,61759,198.9
10/11/16 2:15,EDT,N.Y.C.,61761,4045.9
10/11/16 2:15,EDT,NORTH,61755,456.8
10/11/16 2:15,EDT,WEST,61752,1404.7
10/11/16 2:20,EDT,CAPITL,61757,1045.6
10/11/16 2:20,EDT,CENTRL,61754,1335.6
10/11/16 2:20,EDT,DUNWOD,61760,460.9
10/11/16 2:20,EDT,GENESE,61753,826.6
10/11/16 2:20,EDT,HUD VL,61758,765.3
10/11/16 2:20,EDT,LONGIL,61762,1582.3
10/11/16 2:20,EDT,MHK VL,61756,671.2
10/11/16 2:20,EDT,MILLWD,61759,218.9
10/11/16 2:20,EDT,N.Y.C.,61761,4032.5
10/11/16 2:20,EDT,NORTH,61755,459.8
10/11/16 2:20,EDT,WEST,61752,1425.2
10/11/16 2:25,EDT,CAPITL,61757,1041
10/11/16 2:25,EDT,CENTRL,61754,1381.5
10/11/16 2:25,EDT,DUNWOD,61760,453.9
10/11/16 2:25,EDT,GENESE,61753,830.4
10/11/16 2:25,EDT,HUD VL,61758,785.1
10/11/16 2:25,EDT,LONGIL,61762,1579.2
10/11/16 2:25,EDT,MHK VL,61756,666.3
10/11/16 2:25,EDT,MILLWD,61759,202.2
10/11/16 2:25,EDT,N.Y.C.,61761,4028.9
10/11/16 2:25,EDT,NORTH,61755,435.9
10/11/16 2:25,EDT,WEST,61752,1397.4
10/11/16 2:30,EDT,CAPITL,61757,1050.8
10/11/16 2:30,EDT,CENTRL,61754,1372.4
10/11/16 2:30,EDT,DUNWOD,61760,460.7
10/11/16 2:30,EDT,GENESE,61753,825.1
10/11/16 2:30,EDT,HUD VL,61758,784.9
10/11/16 2:30,EDT,LONGIL,61762,1561.2
10/11/16 2:30,EDT,MHK VL,61756,669.6
10/11/16 2:30,EDT,MILLWD,61759,204.1
10/11/16 2:30,EDT,N.Y.C.,61761,4022
10/11/16 2:30,EDT,NORTH,61755,446.1
10/11/16 2:30,EDT,WEST,61752,1397.2
10/11/16 2:35,EDT,CAPITL,61757,1041
10/11/16 2:35,EDT,CENTRL,61754,1366.4
10/11/16 2:35,EDT,DUNWOD,61760,450.8
10/11/16 2:35,EDT,GENESE,61753,830.1
10/11/16 2:35,EDT,HUD VL,61758,767.2
10/11/16 2:35,EDT,LONGIL,61762,1566.4
10/11/16 2:35,EDT,MHK VL,61756,667.4
10/11/16 2:35,EDT,MILLWD,61759,209.2
10/11/16 2:35,EDT,N.Y.C.,61761,3982.7
10/11/16 2:35,EDT,NORTH,61755,449.9
10/11/16 2:35,EDT,WEST,61752,1386
10/11/16 2:40,EDT,CAPITL,61757,1045.9
10/11/16 2:40,EDT,CENTRL,61754,1373.5
10/11/16 2:40,EDT,DUNWOD,61760,456.3
10/11/16 2:40,EDT,GENESE,61753,821.6
10/11/16 2:40,EDT,HUD VL,61758,770.6
10/11/16 2:40,EDT,LONGIL,61762,1564.2
10/11/16 2:40,EDT,MHK VL,61756,666.3
10/11/16 2:40,EDT,MILLWD,61759,206.6
10/11/16 2:40,EDT,N.Y.C.,61761,4016.5
10/11/16 2:40,EDT,NORTH,61755,444
10/11/16 2:40,EDT,WEST,61752,1396.2
10/11/16 2:45,EDT,CAPITL,61757,1052
10/11/16 2:45,EDT,CENTRL,61754,1368.9
10/11/16 2:45,EDT,DUNWOD,61760,456.9
10/11/16 2:45,EDT,GENESE,61753,822.5
10/11/16 2:45,EDT,HUD VL,61758,775.8
10/11/16 2:45,EDT,LONGIL,61762,1563.6
10/11/16 2:45,EDT,MHK VL,61756,663.2
10/11/16 2:45,EDT,MILLWD,61759,208.3
10/11/16 2:45,EDT,N.Y.C.,61761,3985.3
10/11/16 2:45,EDT,NORTH,61755,460.4
10/11/16 2:45,EDT,WEST,61752,1390.5
10/11/16 2:50,EDT,CAPITL,61757,1046.7
10/11/16 2:50,EDT,CENTRL,61754,1362.8
10/11/16 2:50,EDT,DUNWOD,61760,453.1
10/11/16 2:50,EDT,GENESE,61753,825.4
10/11/16 2:50,EDT,HUD VL,61758,766.7
10/11/16 2:50,EDT,LONGIL,61762,1555.2
10/11/16 2:50,EDT,MHK VL,61756,666.1
10/11/16 2:50,EDT,MILLWD,61759,210.2
10/11/16 2:50,EDT,N.Y.C.,61761,3986
10/11/16 2:50,EDT,NORTH,61755,455.2
10/11/16 2:50,EDT,WEST,61752,1391.6
10/11/16 2:55,EDT,CAPITL,61757,1048.8
10/11/16 2:55,EDT,CENTRL,61754,1383.7
10/11/16 2:55,EDT,DUNWOD,61760,453.5
10/11/16 2:55,EDT,GENESE,61753,819.7
10/11/16 2:55,EDT,HUD VL,61758,766.9
10/11/16 2:55,EDT,LONGIL,61762,1554.8
10/11/16 2:55,EDT,MHK VL,61756,665
10/11/16 2:55,EDT,MILLWD,61759,202.8
10/11/16 2:55,EDT,N.Y.C.,61761,4012.7
10/11/16 2:55,EDT,NORTH,61755,444.4
10/11/16 2:55,EDT,WEST,61752,1405.2
10/11/16 3:00,EDT,CAPITL,61757,1044.2
10/11/16 3:00,EDT,CENTRL,61754,1378.7
10/11/16 3:00,EDT,DUNWOD,61760,448.9
10/11/16 3:00,EDT,GENESE,61753,821.1
10/11/16 3:00,EDT,HUD VL,61758,772.5
10/11/16 3:00,EDT,LONGIL,61762,1558.1
10/11/16 3:00,EDT,MHK VL,61756,669.7
10/11/16 3:00,EDT,MILLWD,61759,204.2
10/11/16 3:00,EDT,N.Y.C.,61761,3985.7
10/11/16 3:00,EDT,NORTH,61755,452.6
10/11/16 3:00,EDT,WEST,61752,1387.5
10/11/16 3:05,EDT,CAPITL,61757,1053.1
10/11/16 3:05,EDT,CENTRL,61754,1371.6
10/11/16 3:05,EDT,DUNWOD,61760,445.7
10/11/16 3:05,EDT,GENESE,61753,820
10/11/16 3:05,EDT,HUD VL,61758,767.9
10/11/16 3:05,EDT,LONGIL,61762,1552.1
10/11/16 3:05,EDT,MHK VL,61756,666.2
10/11/16 3:05,EDT,MILLWD,61759,207.2
10/11/16 3:05,EDT,N.Y.C.,61761,3964.4
10/11/16 3:05,EDT,NORTH,61755,446.5
